"Time [s]","Process load","System load"
0.0,0,0
1.01,18.73,28.35
2.01,18.45,28.85
3.01,6.48,11.81
4.01,1.04,12.35
5.02,9.08,16.1
6.02,22.52,30.46
7.02,19.75,27.67
8.02,10.5,16.47
9.03,16.79,25.77
10.03,14.41,20.9
11.03,23.86,32.42
12.04,13.77,22.48
13.04,11.15,18.67
14.04,18.33,28.48
15.05,20.12,25.7
16.05,23.54,34.47
17.05,24.76,32.54
18.06,14.25,21.38
19.06,18.73,31.34
20.06,18.21,22.5
21.06,13.11,21.68
22.07,14.27,21.41
23.07,16.1,21.93
24.08,22.17,32.29
25.08,5.97,12.85
26.08,6.08,19.69
27.09,1.95,9.63
28.09,2.98,9.33
29.09,1.68,14.52
30.1,3.24,6.36
31.1,0.77,9.58
32.11,4.02,10.63
33.11,21.56,30.92
34.11,22.76,31.74
35.12,21.3,26.89
36.12,20.6,29.15
37.13,6.73,13.09
38.13,5.32,11.93
39.13,4.8,13.25
40.14,3.5,8.94
41.14,2.72,13.11
42.14,8.85,18.62
43.14,16.63,24.95
44.17,20.46,31.32
45.18,29.68,36.06
46.18,10.93,19.77
47.18,18.95,28.81
48.19,2.19,9.98
49.19,2.07,12.07
50.19,2.86,8.06
51.19,2.72,12.45
52.2,3.51,10.41
53.2,1.43,12.62
54.2,14.26,19.84
55.2,9.87,19.22
56.2,13.28,22.26
57.21,2.46,8.17
58.21,2.21,11.06
59.21,2.85,6.11
60.22,1.81,10.5
61.22,3.37,9.86
62.22,0.91,8.44
63.23,21.78,29.95
