"Time [s]","Process load","System load"
0.0,0,0
1.0,19.87,33.26
2.0,18.88,34.25
3.0,10.8,23.04
4.0,9.76,22.14
5.0,9.5,27.34
6.0,9.35,22.48
7.01,9.74,23
8.01,13.51,29.1
9.01,9.11,22
10.01,9.63,23.7
11.01,11.97,29.66
12.01,15.1,28.38
