"Time [s]","Process load","System load"
0.0,0,0
1.01,12.72,26.09
2.01,16.53,25.13
3.01,22.4,33.45
4.01,22.13,34.9
5.01,26.92,31.86
6.01,20.59,33.49
7.01,19.53,28.78
8.01,17.31,28.38
9.01,12.62,25.39
10.01,11.98,18.1
11.01,21.35,30.07
12.01,28.51,38.8
13.01,16.54,24.21
14.01,19.26,29.69
15.02,21.48,27.34
16.02,20.96,30.6
17.02,18.08,26.66
18.02,18.75,28.77
19.02,20.83,33.98
20.02,27.18,34.08
21.02,25.26,35.41
22.02,19.14,25.13
23.02,14.05,26.69
24.02,31.38,42.7
25.02,21.85,32.12
26.02,14.05,28.12
27.02,14.58,20.44
28.02,12.75,26.17
29.02,16.4,26.43
30.03,12.5,23.05
31.03,17.7,28.25
32.03,12.63,18.49
33.03,16.92,29.95
34.03,14.58,23.3
35.03,10.4,17.29
36.03,16.54,28.27
37.03,20.31,28.25
38.03,18.22,29.95
39.03,19.79,28.25
40.16,12.08,20.59
41.16,16.4,30.34
42.16,9.37,15.1
43.16,15.36,27.47
44.43,10.48,24.58
45.43,11.44,23.93
46.43,10.29,27.6
47.43,10.28,18.75
48.43,10.8,23.17
49.43,17.45,33.46
50.43,13.66,27.6
51.43,14.32,26.56
52.43,18.59,30.69
53.43,11.72,30.08
54.44,11.19,29.03
55.44,12.5,27.21
56.44,10.8,27.73
57.44,16.4,26.04
58.44,18.88,33.85
59.44,19.52,34.64
60.44,15.89,30.2
61.44,12.23,27.99
62.44,9.9,22.78
63.44,10.67,31.12
64.44,8.98,21.48
65.44,8.07,26.17
66.44,7.55,28.25
67.44,11.33,23.56
68.44,9.89,28.51
69.44,8.33,19.92
70.44,9.63,26.69
71.44,9.76,25.78
72.44,9.9,23.95
73.44,9.11,30.6
74.45,14.05,25.12
75.45,13.4,29.42
76.45,8.85,23.57
77.45,10.8,28.64
78.45,10.93,27.86
79.45,8.98,23.82
80.45,7.03,27.6
81.45,7.94,21.22
82.45,10.94,25.25
83.45,13.15,29.95
84.45,9.89,20.17
85.45,7.16,26.56
86.45,8.2,22.65
87.45,7.81,23.43
88.45,7.94,25.25
89.45,7.29,19.27
90.45,8.85,29.16
91.45,8.2,18.61
92.46,8.2,26.17
93.46,6.64,27.47
94.46,7.8,18.75
95.46,7.16,26.3
96.46,7.15,19.27
97.46,7.03,23.04
98.46,7.55,26.56
99.46,8.07,21.74
100.46,9.11,18.61
101.46,9.89,17.97
102.53,9.36,21.39
103.53,10.94,21.35
104.53,9.11,16.15
105.7,8.03,18.74
106.7,9.74,20.28
107.7,8.99,19.14
108.7,9.63,18.1
109.7,7.94,16.27
110.7,12.75,25.78
111.7,10.55,22
112.7,9.11,16.4
113.7,8.98,18.1
114.7,10.28,19.27
115.79,9.43,18.86
116.8,9.36,24.71
117.8,8.99,21.35
118.8,8.98,23.69
119.8,8.33,18.23
120.8,7.8,17.45
121.8,10.8,22.78
122.8,9.37,15.75
123.96,10.61,21.45
124.96,10.41,19.52
125.97,8.2,15.36
126.97,8.45,33.46
127.97,9.25,21.09
128.97,9.48,23.26
129.97,9.51,19.28
130.97,9.9,17.31
131.97,8.06,18.23
132.97,8.72,23.95
133.97,8.72,15.49
134.97,10.67,21.75
135.97,11.2,21.35
136.97,11.18,20.16
137.97,9.77,21.89
138.97,8.06,20.7
139.97,11.2,23.44
140.97,8.98,30.2
141.97,9.5,31.11
142.98,7.94,30.2
143.98,9.76,29.95
144.98,9.89,26.56
145.98,8.99,31.37
146.98,8.98,30.85
147.98,9.1,28.25
148.98,9.25,28.64
149.98,8.85,27.08
150.98,8.2,19.53
152.02,8.65,19.19
153.02,8.06,13
154.02,8.45,19.4
155.02,8.97,19.38
156.02,8.07,12.88
157.02,7.93,16.91
158.02,7.29,16.4
